designation,BLS_period,BLS_period_SNR,BLS_duration,BLS_depth,BLS_transit_time,channel,quarter,ra,dec,main_id,main_type,other_types,angDist
Gaia EDR3 2053614118393506176,0.5320758532246135,110356.06312606612,0.099,0.1884299845203502,2455276.7255779672,48,5,292.48502174192384,41.31558586869537,KIC 6044543,EB*,EB*|IR |*  |EB*,0.113198
Gaia EDR3 2053614182812468480,0.5320758532246135,129.87073217159465,0.099,0.0099783697728374,2455276.7255779672,48,5,292.4817282213891,41.319419370918745,,,,
Gaia EDR3 2052503164977145088,0.551766380823097,102.58795580171514,0.45,0.001046803528647,2455276.795922923,49,5,293.6665091110536,39.82012082888516,,,,
Gaia EDR3 2052503164977145472,0.551766380823097,4784.072179314004,0.45,0.1266126070670311,2455276.795922923,49,5,293.66714075748183,39.82344305082061,,,,
Gaia EDR3 2076505018468886784,0.5421177236007446,56.00997256898406,0.45,0.0070725326366579,2455276.7148494106,50,5,295.0188236663567,40.36815578171387,[SHM2017] J295.01591+40.36961,RRLyr,RR?|RR?|RR*|*,9.686247
Gaia EDR3 2076505018468891392,0.5421177236007446,1722.774954298831,0.45,0.0979210752191587,2455276.7148494106,50,5,295.0158357054931,40.369591723711146,[SHM2017] J295.01591+40.36961,RRLyr,RR?|RR?|RR*|*,0.004086
Gaia EDR3 2076505881767051392,0.5209006230594511,589.7113336400405,0.45,0.0030443924227229,2455276.7148494106,50,5,295.0061627566308,40.40402709636554,2MASS J19400147+4024145,**,*  |** |IR,0.033438
Gaia EDR3 2076208287770570752,0.6464814958491737,69.94940180937188,0.399,0.002287391223184,2455276.8902677386,51,5,295.74440100507536,39.42859092682142,,,,
Gaia EDR3 2076208287770570880,0.6464814958491737,65.9818866582083,0.399,0.0024463093712103,2455276.8872677386,51,5,295.7402705119194,39.42961757974212,,,,
Gaia EDR3 2076208292075451136,0.6464814958491737,216.54829445170068,0.399,0.008298458646225,2455276.8902677386,51,5,295.7424671944007,39.429310343098784,,,,
Gaia EDR3 2076209357217808384,0.6180335502161274,249.24130434297027,0.399,0.0553610049235919,2455276.7222677385,51,5,295.7254843315316,39.47699166406041,,,,
Gaia EDR3 2076209456001789056,6.810998592252848,205.8810848578874,0.15,0.0102794645524872,2455278.0737677384,51,5,295.75031682841035,39.45948580062886,,,,
Gaia EDR3 2076209460306591744,6.810998592252848,220.858913621136,0.15,0.0093082757612706,2455278.0737677384,51,5,295.7504770854726,39.4603413933149,,,,
Gaia EDR3 2076209460306595328,6.810998592252848,59.25693373929987,0.15,0.0013429719907125,2455278.0827677385,51,5,295.7524611269907,39.46232112028248,,,,
Gaia EDR3 2132712950531684480,0.6246394949076378,2209.4434174146527,0.249,0.003324953682823,2455276.6630809284,54,5,289.2311702008437,50.079785319114016,KIC 11809346,RotV*,Ro*|*  |IR |*,0.027873
Gaia EDR3 2132712984891423616,0.6246394949076378,287.54577897450645,0.249,0.0018698883741254,2455276.6690809284,54,5,289.2298020491846,50.08275544575272,,,,
Gaia EDR3 2129514093249096832,0.875163015413162,2212.4746171290462,0.45,0.0155446168538508,2455277.1684172144,59,5,290.737036882965,48.58317252921119,,,,
Gaia EDR3 2127957734541969152,0.6581132638442485,2247.628500558493,0.051,0.1086778292415074,2455276.884613063,61,5,293.8830111320591,45.23841939314272,,,,
Gaia EDR3 2128267968619535872,0.51572251353907,108.8517955286384,0.051,0.0023126193958214,2455276.959706081,62,5,293.0200146635143,46.25092380124951,,,,
Gaia EDR3 2128268587094813056,0.5852376595175989,1278.5726828080951,0.45,0.0141158172310247,2455276.715206081,62,5,293.00784708218055,46.23807313724301,,,,
Gaia EDR3 2128157325963751680,0.5620131074564115,157.5937619823098,0.45,0.0116599942917883,2455276.844143124,63,5,294.38222937587875,46.82019183633879,KIC 9957411,EB*,EB*|IR |*  |Er*|EB*,9.524854
Gaia EDR3 2128157330263387264,0.5620131074564115,73.21775506295346,0.45,0.0066851420578595,2455276.8471431234,63,5,294.38191180812174,46.82235095917082,,,,
Gaia EDR3 2128160280901253248,0.5620131074564115,98.6168860568925,0.45,0.0083742650966979,2455276.835143124,63,5,294.374261055619,46.82244877097036,,,,
Gaia EDR3 2128160285200885888,0.5620131074564115,10627.814180196654,0.45,0.0522484777194379,2455276.844143124,63,5,294.3783557955691,46.82046159190661,KIC 9957411,EB*,EB*|IR |*  |Er*|EB*,0.136392
Gaia EDR3 2080017648879407616,0.6777650495834717,361.7485323256403,0.201,2.946190935746E-4,2455276.6625484675,64,5,295.24732370863126,45.75738611319437,KOI-2222.01,Planet?,Pl?|Pl?|Pl?|Pl?,0.079981
Gaia EDR3 2080017653183613952,0.6777650495834717,319.6503837820711,0.201,2.987842662411E-4,2455276.6625484675,64,5,295.2468665992465,45.758017155038246,KOI-2222.01,Planet?,Pl?|Pl?|Pl?|Pl?,2.504987
Gaia EDR3 2079994181178267776,0.5768709314512639,90.33910776338683,0.45,0.0038432533451828,2455276.8410484674,64,5,295.2014935342755,45.736028822448034,,,,
Gaia EDR3 2077246024892437120,12.0629750271444,265.0248203820805,0.45,0.00831433512094,2455278.2358717625,65,5,295.9041636301286,42.74680720268145,,,,
Gaia EDR3 2078117181696007296,0.9835114213489224,20997.42877953541,0.099,0.112806416780268,2455277.3974641,66,5,295.012986131972,43.77305693940825,,,,
Gaia EDR3 2078735858841858816,2.414770211635526,206.6955215219956,0.174,0.0167211454240952,2455278.490808143,68,5,297.1912943626484,43.290411673107485,,,,
Gaia EDR3 2076789723264283008,13.362883107626496,202.17523867973708,0.45,0.0150310771407126,2455279.483763726,69,5,296.9213207279709,41.205257816291976,,,,
Gaia EDR3 2076789727566520192,3.524663360985123,302.20113056603,0.45,0.0080076538897774,2455278.685763726,69,5,296.914190361794,41.20679696735606,,,,
Gaia EDR3 2076836864825475456,0.7078670775852711,87.71126325166354,0.126,0.0117441561087632,2455276.663763726,69,5,296.91326344086406,41.25000610812668,,,,
Gaia EDR3 2075404785289028992,24.271381179707085,113.937327293827,0.15,0.0141349169016651,2455287.0886913426,70,5,298.3374539650044,41.760875975247096,,,,
Gaia EDR3 2075404789599593088,3.0345057813116445,338.9711381265947,0.33,0.0220410730286336,2455277.8696913426,70,5,298.3387807089433,41.76165752627748,,,,
Gaia EDR3 2075405133185880704,0.5413673057244489,1448.510918233611,0.45,0.0082159486072853,2455276.837691343,70,5,298.2981877997491,41.7972138292949,,,,
Gaia EDR3 2075405133185894656,0.5413673057244489,58.998601495927765,0.45,0.0023056531284542,2455276.837691343,70,5,298.30225854563946,41.79642127899069,,,,
Gaia EDR3 2075406541944219520,0.6306832875341392,333.26123797165013,0.45,7.275385379707E-4,2455276.7656913428,70,5,298.3188096237969,41.79312249257145,,,,
Gaia EDR3 2073608428123884416,0.7078670775852711,67.27262384077687,0.15,9.672388224694E-4,2455276.6576088355,71,5,299.00611171299585,40.78565402093973,,,,
Gaia EDR3 2073608462478158848,2.006032072973371,402.2445465611262,0.099,0.0019839575000656,2455278.105108836,71,5,299.0175202493252,40.78656661192501,,,,
Gaia EDR3 2073608462483635968,2.006032072973371,421.1318557433572,0.099,0.002050734589722,2455278.105108836,71,5,299.0167877912423,40.78635798275583,,,,
Gaia EDR3 2073682438989499392,0.7078670775852711,71.09393438770921,0.126,5.629940327219E-4,2455276.660681343,72,5,297.65151924568664,40.23779968463254,,,,
Gaia EDR3 2073682438989966592,0.7078670775852711,53.66810969783639,0.126,4.261836231319E-4,2455276.660681343,72,5,297.6525898179528,40.238272270601314,,,,
Gaia EDR3 2073682542058306816,0.7078670775852711,663.9544853681749,0.126,0.0684332398203395,2455276.660681343,72,5,297.63674742647794,40.23350379201196,,,,
Gaia EDR3 2073682640842586368,0.7078670775852711,972.1461592944296,0.126,0.0161367868533363,2455276.660681343,72,5,297.64618379165864,40.23919195492543,,,,
Gaia EDR3 2073682640842595968,0.7078670775852711,104.02986228114736,0.126,0.0024655627549906,2455276.660681343,72,5,297.6462563781682,40.24186638773358,,,,
Gaia EDR3 2073682645147919104,0.7078670775852711,170372.10153417054,0.45,0.0752421904272444,2455276.840681343,72,5,297.6389019109877,40.23639845265154,ASAS J195034+4014.2,EB*,EB*|WU*|EB*|Er*|EB*|V* |*  |IR,3.434015
Gaia EDR3 2073682645147919616,0.7078670775852711,173535.28087747053,0.45,0.0755869856055981,2455276.840681343,72,5,297.6400677799986,40.23606282780726,ASAS J195034+4014.2,EB*,EB*|WU*|EB*|Er*|EB*|V* |*  |IR,0.087354
Gaia EDR3 2073682645147922688,0.7078670775852711,2283.4219209292464,0.126,0.0401146523620411,2455276.660681343,72,5,297.64063946334807,40.24053911575455,,,,
Gaia EDR3 2073682709562067712,0.7078670775852711,269.6505989580716,0.126,0.007737465627322,2455276.663681343,72,5,297.6306420660796,40.24071818805428,,,,
Gaia EDR3 2073682713857067520,0.5606496710526316,306.7988537084567,0.45,2.26168954188E-4,2455276.846681343,72,5,297.63100532747325,40.26275875469808,2MASS J19503163+4015476,RGB*,IR |RG*|Er*|*,2.580215
Gaia EDR3 2073682713857077888,0.5606496710526316,320.6068514819594,0.45,2.331830401675E-4,2455276.846681343,72,5,297.6317334083767,40.26324297894686,2MASS J19503163+4015476,RGB*,IR |RG*|Er*|*,0.132734
Gaia EDR3 2073682713870552064,0.5606496710526316,209.5994800441329,0.45,2.213001010636E-4,2455276.846681343,72,5,297.6318419592794,40.262169708745525,2MASS J19503163+4015476,RGB*,IR |RG*|Er*|*,3.742623
Gaia EDR3 2073685561420406656,0.52396048942804,171.01981606364456,0.45,0.0070243045918079,2455276.714681343,72,5,297.6022765247809,40.25514691001498,,,,
Gaia EDR3 2073685565715220608,0.52396048942804,102.57197791430396,0.45,0.0062376415575875,2455276.714681343,72,5,297.6022065434712,40.25404085980552,,,,
